ip,round,value
10.42.0.116,13,0.0
10.42.0.116,39,0.0
10.42.0.116,66,0.0
10.42.0.116,95,0.0
10.42.0.116,125,0.0
10.42.0.116,139,0.0
10.42.0.116,148,0.0
10.42.0.116,156,0.0
10.42.0.116,176,0.0
10.42.0.116,202,0.0
10.42.0.116,231,0.0
10.42.0.116,261,0.0
10.42.0.116,294,0.0
10.42.0.116,325,0.0
10.42.0.116,355,0.0
10.42.0.118,11,0.0
10.42.0.118,37,0.0
10.42.0.118,49,0.0
10.42.0.118,60,0.0
10.42.0.118,71,0.0
10.42.0.118,93,0.0
10.42.0.118,118,0.0
10.42.0.118,139,0.0
10.42.0.118,165,0.0
10.42.0.118,191,0.0
10.42.0.118,219,0.0
10.42.0.118,248,0.0
10.42.0.118,277,0.0
10.42.0.118,304,0.0
10.42.0.118,330,0.0
10.42.0.118,346,0.0
10.42.0.118,358,0.0
10.42.0.118,369,0.0
10.42.0.118,398,0.0
10.42.0.118,429,0.0
10.42.0.118,460,0.0
10.42.0.118,492,0.0
10.42.0.119,32,0.0
10.42.0.119,80,0.0
10.42.0.119,125,0.0
10.42.0.119,168,0.0
10.42.0.119,206,0.0
10.42.0.119,257,0.0
10.42.0.119,299,0.0
10.42.0.119,347,0.0
10.42.0.119,389,0.0
10.42.0.119,428,0.0
10.42.0.119,446,0.0
10.42.0.119,458,0.0
10.42.0.119,472,0.0
10.42.0.119,508,0.0
10.42.0.119,549,0.0
10.42.0.119,596,0.0
10.42.0.119,639,0.0
10.42.0.119,678,0.0
10.42.0.119,731,0.0
10.42.0.119,785,0.0
10.42.0.119,837,0.0
10.42.0.119,881,0.0
10.42.0.119,923,0.0
10.42.0.119,939,0.0
10.42.0.119,952,0.0
10.42.0.119,966,0.0
10.42.0.119,1006,0.0
10.42.0.120,16,0.0
10.42.0.120,26,0.0
10.42.0.120,37,0.0
10.42.0.120,55,0.0
10.42.0.120,81,0.0
10.42.0.120,109,0.0
10.42.0.120,134,0.0
10.42.0.120,162,0.0
10.42.0.120,188,0.0
10.42.0.120,217,0.0
10.42.0.120,245,0.0
10.42.0.120,276,0.0
10.42.0.120,305,0.0
10.42.0.120,322,0.0
10.42.0.120,333,0.0
10.42.0.120,343,0.0
10.42.0.120,366,0.0
10.42.0.120,395,0.0
10.42.0.120,425,0.0
10.42.0.120,455,0.0
10.42.0.120,484,0.0
10.42.0.120,516,0.0
10.42.0.120,549,0.0
10.42.0.120,579,0.0
10.42.0.120,607,0.0
10.42.0.120,634,0.0
10.42.0.120,648,0.0
10.42.0.120,658,0.0
10.42.0.120,668,0.0
10.42.0.120,693,0.0
10.42.0.120,720,0.0
10.42.0.120,747,0.0
10.42.0.120,773,0.0
10.42.0.121,14,0.0
10.42.0.121,48,0.0
10.42.0.121,82,0.0
10.42.0.121,117,0.0
10.42.0.121,154,0.0
10.42.0.121,189,0.0
10.42.0.121,233,0.0
10.42.0.121,275,0.0
10.42.0.121,316,0.0
10.42.0.121,350,0.0
10.42.0.121,365,0.0
10.42.0.121,380,0.0
10.42.0.121,399,0.0
10.42.0.121,440,0.0
10.42.0.121,479,0.0
10.42.0.121,516,0.0
10.42.0.121,555,0.0
10.42.0.121,593,0.0
10.42.0.121,636,0.0
10.42.0.121,683,0.0
10.42.0.121,730,0.0
10.42.0.121,773,0.0
10.42.0.121,808,0.0
10.42.0.121,823,0.0
10.42.0.121,839,0.0
10.42.0.121,864,0.0
10.42.0.121,909,0.0
10.42.0.121,951,0.0
10.42.0.121,988,0.0
10.42.0.121,1025,0.0
10.42.0.121,1061,0.0
10.42.0.121,1099,0.0
10.42.0.121,1138,0.0
10.42.0.121,1179,0.0
10.42.0.121,1217,0.0
10.42.0.121,1245,0.0
10.42.0.121,1259,0.0
10.42.0.121,1275,0.0
10.42.0.123,33,0.0
10.42.0.123,53,0.0
10.42.0.123,73,0.0
10.42.0.123,104,0.0
10.42.0.123,149,0.0
10.42.0.123,194,0.0
10.42.0.123,238,0.0
10.42.0.123,280,0.0
10.42.0.123,327,0.0
10.42.0.123,374,0.0
10.42.0.123,423,0.0
10.42.0.123,476,0.0
10.42.0.123,548,0.0
10.42.0.123,598,0.0
10.42.0.123,622,0.0
10.42.0.123,645,0.0
10.42.0.123,687,0.0
10.42.0.123,747,0.0
10.42.0.123,804,0.0
10.42.0.123,863,0.0
10.42.0.123,919,0.0
10.42.0.123,981,0.0
10.42.0.123,1050,0.0
10.42.0.123,1131,0.0
10.42.0.123,1210,0.0
10.42.0.123,1290,0.0
10.42.0.123,1334,0.0
10.42.0.123,1356,0.0
10.42.0.123,1379,0.0
10.42.0.123,1430,0.0
10.42.0.123,1478,0.0
10.42.0.123,1522,0.0
10.42.0.123,1568,0.0
10.42.0.123,1611,0.0
10.42.0.123,1655,0.0
