ip,round,value,rel
10.42.0.116,15,9.412272823911888,1.0
10.42.0.116,44,8.835676164016796,1.0
10.42.0.116,77,9.720056761784777,1.0
10.42.0.116,109,9.080687485457899,1.0
10.42.0.116,138,8.87315030472451,1.0
10.42.0.116,165,8.835134552351033,1.0
10.42.0.116,190,8.817736700449093,1.0
10.42.0.116,201,8.550405486640836,1.0
10.42.0.116,212,8.309486970301164,1.0
10.42.0.116,224,7.9082133982460165,1.0
10.42.0.116,253,7.479047190430151,1.0
10.42.0.116,281,8.326463980717236,1.0
10.42.0.116,305,9.810079007416677,1.0
10.42.0.116,333,9.01836915460565,1.0
10.42.0.116,366,8.486156987084003,1.0
10.42.0.116,401,8.163666507348761,1.0
10.42.0.116,435,7.978908291633918,1.0
10.42.0.116,469,8.059630433937725,1.0
10.42.0.116,502,8.363683362645466,1.0
10.42.0.116,529,8.644241512848696,1.0
10.42.0.116,541,8.769063595072804,1.0
10.42.0.116,553,8.888866768466269,1.0
10.42.0.118,15,12.676454211214928,1.0
10.42.0.118,53,9.779564867920497,1.0
10.42.0.118,94,8.944494338728452,1.0
10.42.0.118,139,8.672609128904208,1.0
10.42.0.118,180,8.625749992639632,1.0
10.42.0.118,216,8.148156854387327,1.0
10.42.0.118,248,8.060333451877403,1.0
10.42.0.118,262,14.663791014056791,1.0
10.42.0.118,276,12.734178433663521,1.0
10.42.0.118,290,11.353095975251994,1.0
10.42.0.118,325,9.375633399928098,1.0
10.42.0.118,359,8.542799250657362,1.0
10.42.0.118,397,8.13882565019843,1.0
10.42.0.118,434,7.973165421872788,1.0
10.42.0.118,476,8.151371418979249,1.0
10.42.0.118,519,8.556680128687061,1.0
10.42.0.118,562,8.889365258285935,1.0
10.42.0.118,603,14.142480091448855,1.0
10.42.0.118,643,10.903346780489173,1.0
10.42.0.118,682,9.422398849211158,1.0
10.42.0.118,697,9.191831748151946,1.0
10.42.0.118,712,9.044390005958192,1.0
10.42.0.118,727,8.44753962794134,1.0
10.42.0.118,763,7.8865907194885345,1.0
