ip,round,value,rel
192.168.57.2,4,9.78767149460218,1
192.168.57.2,99,8.25113580564944,1
192.168.57.2,192,8.04479487294413,1
192.168.57.2,285,7.97314818119853,1
192.168.57.2,377,8.14471657473875,1
192.168.57.2,471,9.40571385080466,1
192.168.57.2,563,8.71471351628876,1
192.168.57.2,656,8.03782445134664,1
192.168.57.2,750,9.14996835981471,1
192.168.57.2,839,8.85237156482619,1
192.168.57.2,931,8.01546772982676,1
192.168.57.2,1025,7.5058700860584,1
192.168.57.2,1117,7.46465919864302,1
192.168.57.2,1210,7.45027651920204,1
192.168.57.2,1302,7.65516346455642,1
192.168.57.2,1395,9.21279101264338,1
192.168.57.2,1489,8.38326855114488,1
192.168.57.2,1582,7.76194023661637,1
192.168.57.2,1677,8.90841319999692,1
192.168.57.2,1770,8.5955109387081,1
192.168.57.2,1863,7.81196086491537,1
192.168.57.2,1956,7.33880466514431,1
192.168.57.2,2049,7.30008627265115,1
192.168.57.2,2141,7.28700236746776,1
192.168.57.2,2232,7.51521157249728,1
192.168.57.2,2320,9.17828936852471,1
192.168.57.2,2410,8.27834725924721,1
192.168.57.2,2501,7.67175466228917,1
192.168.57.2,2591,8.84117643230431,1
192.168.57.2,2681,8.54179820499632,1
192.168.57.2,2774,8.41630347453703,0.5
192.168.57.2,2867,8.37663053496284,0.5
192.168.57.2,2958,8.36239803513724,0.5
192.168.57.2,3050,8.35675253589698,0.5
192.168.57.2,3128,9.02089789227354,1
192.168.57.2,3204,9.36919593114121,1
192.168.57.2,3288,8.37941621395008,1
192.168.57.2,3380,7.8691246211847,1
192.168.57.2,3470,8.95575404109981,1
192.168.57.2,3560,8.52194252462597,1
192.168.57.2,3638,8.41877335336278,1
192.168.57.2,3719,8.38637378447555,1
192.168.57.2,3801,8.369502186268,1
192.168.57.2,3888,8.36065070599278,1
192.168.57.2,3970,9.05872900973678,1
192.168.57.1,50,9.80823685192036,1
192.168.57.1,143,8.20173448361708,1
192.168.57.1,236,8.00911175633781,1
192.168.57.1,329,7.95889274794645,1
192.168.57.1,421,8.42132816740709,1
192.168.57.1,515,8.77474599012625,1
192.168.57.1,608,8.09988358955299,1
192.168.57.1,701,13.2981840500598,1
192.168.57.1,794,9.2809672454014,1
192.168.57.1,884,8.75771262005707,1
192.168.57.1,978,7.62293093403191,1
192.168.57.1,1071,7.48022422921082,1
192.168.57.1,1163,7.45684273992964,1
192.168.57.1,1256,7.44693662353625,1
192.168.57.1,1349,7.96590856245835,1
192.168.57.1,1442,8.38744505442282,1
192.168.57.1,1535,7.81523131146833,1
192.168.57.1,1629,13.1215171295096,1
192.168.57.1,1724,9.01139637753628,1
192.168.57.1,1816,8.50308396249744,1
192.168.57.1,1909,7.45071082731579,1
192.168.57.1,2002,7.31468919334729,1
192.168.57.1,2096,7.29280317897745,1
192.168.57.1,2187,7.28397734227614,1
192.168.57.1,2278,7.81998629370579,1
192.168.57.1,2366,8.24510874863976,1
192.168.57.1,2457,7.71968621745215,1
192.168.57.1,2548,13.0971510702522,1
192.168.57.1,2638,8.99156201733065,1
192.168.57.1,2729,8.48584428811412,1
192.168.57.1,2824,8.39372905236382,0.5
192.168.57.1,2914,8.36865807047529,0.5
192.168.57.1,3005,8.35917860967448,0.5
192.168.57.1,3096,8.35541226210703,1
192.168.57.1,3168,8.3982794745252,1
192.168.57.1,3239,8.48486480501735,1
192.168.57.1,3331,7.78424741573426,1
192.168.57.1,3423,13.1058522421013,1
192.168.57.1,3513,9.14880857211817,1
192.168.57.1,3597,8.55434975235148,1
192.168.57.1,3670,8.4247596749243,1
192.168.57.1,3754,8.37866287216895,1
192.168.57.1,3838,8.36359263019264,1
192.168.57.1,3916,8.35803560530686,1
192.168.57.1,4009,8.42461830586817,1
192.168.57.1,4098,8.49308434710539,1
192.168.57.1,4188,7.76558852996114,1
192.168.57.5,79,7.8818068968849,1
192.168.57.5,171,7.76234738788969,1
192.168.57.5,264,7.87472236161828,1
192.168.57.5,357,12.407890327644,1
192.168.57.5,450,8.64707100533567,1
192.168.57.5,542,8.86446210994413,1
192.168.57.5,636,8.10890943755203,1
192.168.57.5,729,8.43787974382804,1
192.168.57.5,820,8.06710789347864,1
192.168.57.5,911,8.23056408255171,1
192.168.57.5,1006,7.50687170885965,1
