ip,round,value,rel
192.168.57.2,10,9.800800451748293,1.0
192.168.57.2,105,8.266469716049867,1.0
192.168.57.2,199,7.212777758426522,1.0
192.168.57.2,294,7.124375219669495,1.0
192.168.57.2,388,7.527526375533445,1.0
192.168.57.2,481,7.857579884245152,1.0
192.168.57.2,577,7.880214276941723,1.0
192.168.57.2,671,8.629938429876317,1.0
192.168.57.2,765,7.820985625398074,1.0
192.168.57.2,860,7.807594147134712,1.0
192.168.57.2,953,8.704239604224062,1.0
192.168.57.2,1048,8.298248421688083,1.0
192.168.57.2,1142,7.350701205716869,1.0
192.168.57.2,1237,7.307537226569064,1.0
192.168.57.2,1333,7.718325498599426,1.0
192.168.57.2,1428,8.028205286239677,1.0
192.168.57.2,1523,8.049400574246917,1.0
192.168.57.2,1617,8.692382789061787,1.0
192.168.57.2,1711,7.925904608411002,1.0
192.168.57.2,1807,7.914352503958189,1.0
192.168.57.2,1901,8.785191312138501,1.0
192.168.57.2,1994,8.320813475185226,1.0
192.168.57.2,2084,7.434699906795587,1.0
192.168.57.2,2179,7.391352520246131,1.0
192.168.57.2,2275,7.809476405086516,1.0
192.168.57.2,2370,8.111143137356791,1.0
192.168.57.2,2465,8.131054216311123,1.0
192.168.57.2,2557,8.690811970120269,1.0
192.168.57.2,2651,7.972474750193368,1.0
192.168.57.2,2747,7.962084948844195,1.0
192.168.57.2,2842,8.809489660795414,1.0
192.168.57.2,2935,8.354369103770967,1.0
192.168.57.2,3029,7.436781613290328,1.0
192.168.57.2,3124,7.395747952205542,1.0
192.168.57.2,3219,7.791206108363867,1.0
192.168.57.2,3314,8.103300214294729,1.0
192.168.57.2,3410,8.125246891784698,1.0
192.168.57.2,3504,8.69096233563326,1.0
192.168.57.2,3598,7.969762008131376,1.0
192.168.57.2,3694,7.958608431200011,1.0
192.168.57.2,3790,8.820913569963267,1.0
192.168.57.2,3885,8.362330830276301,1.0
192.168.57.2,3979,7.418599489183415,1.0
192.168.57.2,4074,7.376593819819968,1.0
192.168.57.2,4167,7.798739172574527,1.0
192.168.57.2,4262,8.092055509700245,1.0
192.168.57.2,4359,8.111559049842672,1.0
192.168.57.1,35,10.938638302711468,1.0
192.168.57.1,131,7.7509202053419886,1.0
192.168.57.1,226,7.175266918647053,1.0
192.168.57.1,320,7.115523399900716,1.0
192.168.57.1,415,7.6942756373121775,1.0
192.168.57.1,509,7.872521028833718,1.0
192.168.57.1,603,7.8800921832256785,1.0
192.168.57.1,696,7.492793666781464,1.0
192.168.57.1,790,7.785259152671166,1.0
192.168.57.1,886,12.406941806092496,1.0
192.168.57.1,982,8.771706126916992,1.0
192.168.57.1,1077,7.735877563376655,1.0
192.168.57.1,1172,7.3255806931398455,1.0
192.168.57.1,1267,7.304620832092496,1.0
192.168.57.1,1363,7.8748044051584305,1.0
192.168.57.1,1458,8.041423748150121,1.0
192.168.57.1,1552,8.049558969713027,1.0
192.168.57.1,1647,7.608110146234065,1.0
192.168.57.1,1743,7.89422698742403,1.0
192.168.57.1,1837,12.354041935618406,1.0
192.168.57.1,1931,8.865667672743264,1.0
192.168.57.1,2025,7.815271002238798,1.0
