ip,round,value
10.42.0.116,0,0.0
10.42.0.116,1,0.0
10.42.0.116,208,0.0
10.42.0.116,363,0.0
10.42.0.116,454,0.0
10.42.0.116,530,0.0
10.42.0.116,601,0.0
10.42.0.116,692,0.0
10.42.0.116,759,0.0
10.42.0.116,775,0.0
10.42.0.116,929,2.127257032290189
10.42.0.116,1048,0.6432919623726728
10.42.0.116,1133,0.27377870564111584
10.42.0.116,1224,0.10969892565533257
10.42.0.116,1313,0.04484713392037937
10.42.0.116,1403,1.9869638774458895
10.42.0.116,1493,9.733208219584387
10.42.0.116,1555,12.175586919380727
10.42.0.116,1602,13.238906718571
10.42.0.116,1626,13.61634750485878
10.42.0.116,1715,12.955899127887259
10.42.0.116,1838,14.406212215442288
10.42.0.116,1947,14.801451106939965
10.42.0.116,2036,14.91882920690779
10.42.0.116,2127,14.967476108940046
10.42.0.116,2209,14.985734452154148
10.42.0.116,2291,14.993742881041904
10.42.0.116,2378,14.961459118228522
10.42.0.116,2468,11.327547117671589
10.42.0.116,2556,9.847299030508637
10.42.0.116,2600,8.315573941934193
10.42.0.116,2630,7.8147451387556135
10.42.0.116,2684,7.531060304642937
10.42.0.116,2807,8.191114969842
10.42.0.116,2931,8.631563977049302
10.42.0.116,3018,9.094855762549871
10.42.0.116,3104,10.910069920306453
10.42.0.116,3191,10.44619879678685
10.42.0.116,3278,9.531130383031238
10.42.0.116,3366,9.96238263911566
10.42.0.116,3453,8.95108100605772
10.42.0.116,3541,8.782508540870705
10.42.0.116,3621,9.057772155391051
10.42.0.116,3667,9.261099352653407
10.42.0.116,3713,9.411213386914765
10.42.0.116,3791,9.505277744499502
10.42.0.116,3921,12.060166297450612
10.42.0.116,4006,10.490214677496695
10.42.0.116,4095,9.342359828015287
10.42.0.116,4184,9.938468707090555
10.42.0.116,4271,9.364692359925957
10.42.0.116,4358,9.486707282022634
10.42.0.116,4447,9.825600819245636
10.42.0.116,4535,9.958851242446663
10.42.0.116,4624,9.88891051041488
10.42.0.116,4698,9.681193604441162
10.42.0.116,4753,11.04697792406809
10.42.0.116,4814,11.048986523759645
10.42.0.116,4921,10.41048667562365
10.42.0.118,0,0.0
10.42.0.118,1,0.0
10.42.0.118,139,0.0
10.42.0.118,341,0.0
10.42.0.118,430,0.0
10.42.0.118,521,0.0
10.42.0.118,614,0.0
10.42.0.118,702,0.0
10.42.0.118,794,0.0
10.42.0.118,886,0.0
10.42.0.118,978,15.0
10.42.0.118,1070,15.0
10.42.0.118,1143,15.0
10.42.0.118,1225,15.0
10.42.0.118,1308,15.0
10.42.0.118,1399,15.0
10.42.0.118,1488,15.0
10.42.0.118,1579,15.0
10.42.0.118,1604,15.0
10.42.0.118,1690,15.0
10.42.0.118,1817,15.0
10.42.0.118,1925,15.0
10.42.0.118,2000,7.130100630085611
10.42.0.118,2079,4.509154889810808
10.42.0.118,2153,6.412998656590832
10.42.0.118,2207,7.310310527314594
10.42.0.118,2261,8.149836675699973
10.42.0.118,2321,8.762268910321817
10.42.0.118,2413,8.431701864040555
10.42.0.118,2497,14.928967865503344
10.42.0.118,2567,11.439714438175658
10.42.0.118,2632,9.590789655611546
10.42.0.118,2698,8.661025747220343
10.42.0.118,2793,8.123392496269904
10.42.0.118,2881,8.304954812821281
10.42.0.118,2974,8.829300526976764
10.42.0.118,3064,9.501863986951518
10.42.0.118,3136,9.671038148674242
10.42.0.118,3169,9.629645772701343
10.42.0.118,3199,9.54157748032949
10.42.0.118,3268,11.46967605403937
10.42.0.118,3366,8.787732148295003
10.42.0.118,3456,8.537660654459366
10.42.0.118,3535,8.735824072999899
10.42.0.118,3609,9.11029025909464
10.42.0.118,3698,9.804357266280437
10.42.0.118,3788,10.109213910485105
10.42.0.118,3873,10.014663366041196
10.42.0.118,3947,9.757695409029042
10.42.0.118,4031,14.690702707961051
10.42.0.118,4079,11.686594661047154
10.42.0.118,4121,10.399195234665294
10.42.0.118,4164,9.852686081533534
10.42.0.118,4253,9.587945740927191
10.42.0.118,4342,9.553694814253397
10.42.0.118,4427,9.676295277833162
10.42.0.118,4515,10.019538755717239
10.42.0.118,4610,10.340374466594533
10.42.0.118,4706,10.2475376835075
10.42.0.119,0,0.0
10.42.0.119,1,0.0
10.42.0.119,2,0.0
10.42.0.119,127,1.1497965971647146
10.42.0.119,320,9.895562184233086
10.42.0.119,527,12.301856072761236
10.42.0.119,628,12.960264416868402
10.42.0.119,715,12.134080771336798
10.42.0.119,805,13.041665675573144
10.42.0.119,875,13.800681276013222
10.42.0.119,895,5.752585107463827
10.42.0.119,909,6.153920400536617
10.42.0.119,998,7.223005840893119
10.42.0.119,1119,9.307775238885895
10.42.0.119,1238,12.863952654747028
10.42.0.119,1331,13.444281839123075
10.42.0.119,1413,10.727194783543146
10.42.0.119,1498,9.21273218637669
10.42.0.119,1586,9.050351459141085
10.42.0.119,1671,8.522030545422536
10.42.0.119,1757,6.829055168675924
10.42.0.119,1843,7.123555693508215
10.42.0.119,1886,7.126920574844817
10.42.0.119,1911,6.998884862724693
10.42.0.119,1940,6.8793509627658
10.42.0.119,2020,7.743931515464765
10.42.0.119,2125,10.802257806482181
10.42.0.119,2227,10.068281440395763
10.42.0.119,2326,8.896250075279202
10.42.0.119,2421,5.131702309458446
10.42.0.119,2526,8.102264110237627
10.42.0.119,2621,8.659244702887076
10.42.0.119,2717,8.858332237190114
10.42.0.119,2803,9.225659479175864
10.42.0.119,2887,9.78877655568682
10.42.0.119,2912,9.713316589329262
10.42.0.119,2938,10.090743793104709
10.42.0.119,2978,10.331949449095038
10.42.0.119,3068,9.305190126303723
10.42.0.119,3179,5.309831830867554
10.42.0.119,3288,8.624329969851578
10.42.0.119,3391,9.171457210152544
10.42.0.119,3484,9.348506488458636
10.42.0.119,3588,9.08983501668963
10.42.0.119,3678,9.582455752480541
10.42.0.119,3766,10.902702445846552
10.42.0.119,3854,10.350797320737168
10.42.0.119,3925,9.925369124309661
10.42.0.119,3954,9.813397007350405
10.42.0.119,3982,9.738151054542513
10.42.0.119,4046,8.365263697130755
10.42.0.119,4149,9.538724955649199
10.42.0.119,4256,9.816327294383385
10.42.0.119,4349,9.917672318366693
10.42.0.119,4438,10.300736181844753
10.42.0.119,4533,11.226529092739929
10.42.0.119,4633,10.000860025718476
10.42.0.119,4732,9.644333590042141
10.42.0.119,4819,9.586572171511662
10.42.0.120,0,0.0
10.42.0.120,1,0.0
10.42.0.120,2,0.0
10.42.0.120,3,0.0
10.42.0.120,68,0.0
10.42.0.120,233,6.75128516492604
10.42.0.120,312,11.24507254889702
10.42.0.120,327,11.765787211697981
10.42.0.120,330,11.860909296123884
10.42.0.120,409,10.007370913134368
10.42.0.120,481,9.319969987993858
10.42.0.120,584,9.414858448191739
10.42.0.120,674,10.23415494823421
10.42.0.120,802,9.139563602639651
10.42.0.120,907,6.647435859991377
10.42.0.120,956,5.90966421242911
