ip,round,value,rel
10.42.0.116,0,0.0,0.0
10.42.0.116,1,0.0,0.0
10.42.0.116,220,0.0,0.0
10.42.0.116,364,0.0,0.0
10.42.0.116,457,0.0,0.0
10.42.0.116,548,0.0,0.0
10.42.0.116,631,0.0,0.0
10.42.0.116,707,0.0,0.0
10.42.0.116,742,0.0,0.16666666666666666
10.42.0.116,830,0.0,0.16666666666666666
10.42.0.116,904,4.898902730042052,0.16666666666666666
10.42.0.116,939,3.4461218334751793,0.16666666666666666
10.42.0.116,1096,0.711305520254158,0.16666666666666666
10.42.0.116,1200,0.2501015695969061,0.16666666666666666
10.42.0.116,1289,0.10224656730596057,0.16666666666666666
10.42.0.116,1377,2.773618622385102,0.16666666666666666
10.42.0.116,1467,10.051592546320396,0.16666666666666666
10.42.0.116,1552,12.89400666121116,0.16666666666666666
10.42.0.116,1641,14.139027435903621,0.16666666666666666
10.42.0.116,1688,14.463161741981319,0.16666666666666666
10.42.0.116,1716,11.188286428264485,0.16666666666666666
10.42.0.116,1751,12.318658873964077,0.16666666666666666
10.42.0.116,1874,14.221101253566445,0.16666666666666666
10.42.0.116,2006,14.793306560725737,0.16666666666666666
10.42.0.116,2091,14.91203331367564,0.16666666666666666
10.42.0.116,2177,14.962936624641992,0.16666666666666666
10.42.0.116,2262,14.984226193508189,0.16666666666666666
10.42.0.116,2347,14.993286823748841,0.16666666666666666
10.42.0.116,2434,11.933465805395258,0.3333333333333333
10.42.0.116,2516,8.114999598078802,0.5
10.42.0.116,2600,7.597776992383723,0.8333333333333334
10.42.0.116,2687,7.877756215169193,0.8333333333333334
10.42.0.116,2719,8.23596670049853,0.8333333333333334
10.42.0.116,2758,8.672455714722833,0.8333333333333334
10.42.0.116,2797,9.028631407576157,0.8333333333333334
10.42.0.116,2897,9.19879221214668,0.8333333333333334
10.42.0.116,3006,8.351062929807997,0.8333333333333334
10.42.0.116,3110,10.65890633868482,1.0
10.42.0.116,3199,10.545652387692856,1.0
10.42.0.116,3284,9.940661010647924,1.0
10.42.0.116,3370,9.073799143174337,1.0
10.42.0.116,3459,8.73401785930414,1.0
10.42.0.116,3544,8.885313599942036,1.0
10.42.0.116,3631,9.10392617798785,1.0
10.42.0.116,3709,8.934535209180911,1.0
10.42.0.116,3748,8.671840613744967,1.0
10.42.0.116,3780,8.462614057862783,1.0
10.42.0.116,3839,10.458126111729658,1.0
10.42.0.116,3944,10.662658715323138,1.0
10.42.0.116,4056,9.952164832254924,1.0
10.42.0.116,4140,9.436723781510995,1.0
10.42.0.116,4226,9.175775130150823,1.0
10.42.0.116,4310,9.264295185740083,1.0
10.42.0.116,4392,9.433967480251084,1.0
10.42.0.116,4478,9.395432491013826,1.0
10.42.0.116,4566,10.273943906700982,1.0
10.42.0.116,4648,11.167133378836374,1.0
10.42.0.116,4711,10.842960252091423,1.0
10.42.0.116,4743,10.609181966432093,1.0
10.42.0.118,0,0.0,0.0
10.42.0.118,1,0.0,0.0
10.42.0.118,155,0.0,0.0
10.42.0.118,359,0.0,0.0
10.42.0.118,444,0.0,0.0
10.42.0.118,520,0.0,0.0
10.42.0.118,594,0.0,0.0
10.42.0.118,683,0.0,0.0
10.42.0.118,773,0.0,0.0
10.42.0.118,865,0.0,0.0
10.42.0.118,957,15.0,0.0
10.42.0.118,1048,15.0,0.0
10.42.0.118,1140,15.0,0.0
10.42.0.118,1231,15.0,0.0
10.42.0.118,1322,15.0,0.0
10.42.0.118,1415,15.0,0.0
10.42.0.118,1506,15.0,0.0
10.42.0.118,1586,15.0,0.0
10.42.0.118,1666,15.0,0.0
10.42.0.118,1732,15.0,0.0
10.42.0.118,1823,15.0,0.0
10.42.0.118,1912,15.0,0.0
10.42.0.118,1991,8.458577856785817,0.16666666666666666
10.42.0.118,2069,4.65842169107214,0.5
10.42.0.118,2151,6.1658389495371235,0.8333333333333334
10.42.0.118,2235,8.585452827921932,0.8333333333333334
10.42.0.118,2321,9.698883669799363,0.8333333333333334
10.42.0.118,2404,9.438831594473946,0.8333333333333334
10.42.0.118,2494,8.743109356327794,0.8333333333333334
10.42.0.118,2575,7.079739435137115,0.8333333333333334
10.42.0.118,2614,12.5205550921956,0.8333333333333334
10.42.0.118,2640,11.471167514847664,1.0
10.42.0.118,2718,9.883909668656953,1.0
10.42.0.118,2820,8.90610491018484,1.0
10.42.0.118,2918,8.32981209815011,1.0
10.42.0.118,3024,8.58203237664747,1.0
10.42.0.118,3108,9.084146358245274,1.0
10.42.0.118,3192,9.284324399222143,1.0
10.42.0.118,3277,8.629448027681384,1.0
10.42.0.118,3361,14.866752984886661,1.0
10.42.0.118,3449,11.209426528833516,1.0
10.42.0.118,3538,9.766793419355297,1.0
10.42.0.118,3612,9.266560811358355,1.0
10.42.0.118,3662,9.096236184385324,1.0
10.42.0.118,3690,9.0261311111948,1.0
10.42.0.118,3784,8.994891934412784,1.0
10.42.0.118,3890,9.408271023690718,1.0
10.42.0.118,3993,9.609004020748209,1.0
10.42.0.118,4073,9.369037674354278,1.0
10.42.0.118,4158,14.810763781987454,1.0
10.42.0.118,4246,11.398394662561065,1.0
10.42.0.118,4332,10.126426655826622,1.0
10.42.0.118,4413,9.622032253902484,1.0
10.42.0.118,4501,9.734357029146288,1.0
10.42.0.118,4590,9.904869644377142,1.0
10.42.0.118,4649,10.00334221312255,1.0
10.42.0.118,4691,10.05218820057239,1.0
10.42.0.118,4737,10.07053906475827,1.0
10.42.0.118,4845,10.178708847819482,1.0
10.42.0.119,0,0.0,0.0
10.42.0.119,1,0.0,0.0
10.42.0.119,2,0.0,0.0
10.42.0.119,126,0.004788272904406496,0.3333333333333333
10.42.0.119,310,5.54570745854571,0.3333333333333333
10.42.0.119,326,6.091830350459313,0.3333333333333333
10.42.0.119,414,9.27215836137174,0.3333333333333333
10.42.0.119,527,12.315009180472147,0.3333333333333333
10.42.0.119,733,11.465414156997811,0.3333333333333333
10.42.0.119,869,11.49488078950891,0.3333333333333333
10.42.0.119,942,9.013292084234587,0.3333333333333333
10.42.0.119,961,8.787392015983784,0.5
10.42.0.119,984,8.10454465945507,0.5
10.42.0.119,1042,7.4434640100063785,0.5
10.42.0.119,1118,7.350564508736185,0.5
10.42.0.119,1223,10.50532622317475,0.5
10.42.0.119,1348,12.69074200443084,0.6666666666666666
10.42.0.119,1434,13.334357517591046,0.6666666666666666
10.42.0.119,1507,12.255685628039293,0.6666666666666666
10.42.0.119,1589,10.945552220911372,0.8333333333333334
10.42.0.119,1679,9.265700806752175,0.8333333333333334
10.42.0.119,1775,8.379548468888904,1.0
10.42.0.119,1868,7.228809906743684,1.0
10.42.0.119,1918,6.974976995420213,1.0
10.42.0.119,1942,6.914457995713632,1.0
10.42.0.119,1965,6.912392186332664,1.0
10.42.0.119,2032,7.159497383326112,1.0
10.42.0.119,2126,7.847260490590144,1.0
10.42.0.119,2227,9.5415551717219,1.0
10.42.0.119,2342,5.739229632232459,1.0
10.42.0.119,2433,8.463367080095269,1.0
10.42.0.119,2528,8.671332475702068,1.0
10.42.0.119,2619,8.71571524059257,1.0
10.42.0.119,2714,8.849258900826435,1.0
10.42.0.119,2802,8.814952121612547,1.0
10.42.0.119,2893,8.723056039971889,1.0
10.42.0.119,2930,8.641135653124735,1.0
10.42.0.119,2958,9.015557144871197,1.0
10.42.0.119,2988,10.056357147928205,1.0
10.42.0.119,3078,5.6104943577046775,1.0
10.42.0.119,3181,8.964727032835574,1.0
10.42.0.119,3294,9.143382434505163,1.0
10.42.0.119,3395,9.004779732238957,1.0
10.42.0.119,3489,9.022566648503147,1.0
10.42.0.119,3583,9.34961409893968,1.0
10.42.0.119,3680,9.41282267618727,1.0
10.42.0.119,3774,10.973529597045715,1.0
10.42.0.119,3867,10.622517466866338,1.0
10.42.0.119,3959,9.756302122174702,1.0
10.42.0.119,3986,9.484931219617422,1.0
10.42.0.119,4011,6.537627359530868,1.0
10.42.0.119,4052,7.872239667000274,1.0
10.42.0.119,4144,8.987948273186408,1.0
10.42.0.119,4245,9.379289223782731,1.0
10.42.0.119,4351,9.518264164793854,1.0
10.42.0.119,4458,9.560735083929682,1.0
10.42.0.119,4541,10.955359612730856,1.0
10.42.0.119,4630,10.783969297846262,1.0
10.42.0.119,4722,10.207630254638383,1.0
10.42.0.120,0,0.0,0.0
10.42.0.120,1,0.0,0.0
10.42.0.120,2,0.0,0.0
10.42.0.120,3,0.0,0.0
10.42.0.120,68,0.0,0.0
10.42.0.120,193,3.0487216492224176,0.3333333333333333
10.42.0.120,195,3.2825004836062375,0.3333333333333333
10.42.0.120,268,9.302109305966033,0.3333333333333333
10.42.0.120,290,10.414805920070698,0.3333333333333333
10.42.0.120,329,10.275996409005481,0.5
10.42.0.120,371,11.419346662532233,0.5
10.42.0.120,454,8.22543515676111,0.5
10.42.0.120,529,9.574194139021692,0.8333333333333334
10.42.0.120,635,11.386771324836902,0.8333333333333334
10.42.0.120,707,7.445746697149945,1.0
10.42.0.120,789,5.764711694151834,1.0
10.42.0.120,871,4.602843581290799,1.0
10.42.0.120,950,5.384905307403558,1.0
10.42.0.120,1008,6.780288224215663,1.0
10.42.0.120,1080,7.6852507506442365,1.0
10.42.0.120,1129,9.604473845422005,1.0
10.42.0.120,1148,8.850395307427059,1.0
10.42.0.120,1165,8.439171606104214,1.0
10.42.0.120,1213,7.868444860181316,1.0
10.42.0.120,1281,8.31146474312895,1.0
10.42.0.120,1349,8.743832714562663,1.0
10.42.0.120,1416,8.862051255207593,1.0
10.42.0.120,1494,8.511458239903234,1.0
10.42.0.120,1576,8.633210374103964,1.0
10.42.0.120,1656,14.26931968905869,1.0
10.42.0.120,1729,8.839596229663496,1.0
10.42.0.120,1795,8.607218480739784,1.0
10.42.0.120,1871,8.781794567848104,1.0
10.42.0.120,1903,8.802983008756085,1.0
10.42.0.120,1925,8.79194929516854,1.0
10.42.0.120,1941,8.77180166406218,1.0
10.42.0.120,1995,8.756614577494872,1.0
10.42.0.120,2066,9.442822270881901,1.0
10.42.0.120,2127,9.697254239798552,1.0
10.42.0.120,2203,14.368752159908123,1.0
10.42.0.120,2282,9.905803162616174,1.0
10.42.0.120,2371,8.8458791348833,1.0
10.42.0.120,2451,7.941733422226419,1.0
10.42.0.120,2524,8.539876862870688,1.0
10.42.0.120,2594,8.803307990662177,1.0
10.42.0.120,2668,9.048091132455747,1.0
10.42.0.120,2693,9.067076862479649,1.0
10.42.0.120,2709,9.05779267924413,1.0
10.42.0.120,2725,9.037985201931217,1.0
10.42.0.120,2782,14.122971997200878,1.0
10.42.0.120,2851,10.51405686783945,1.0
10.42.0.120,2933,10.066939364850462,1.0
10.42.0.120,3017,9.818486837231745,1.0
10.42.0.120,3101,9.98230009007998,1.0
10.42.0.120,3187,9.352484463305208,1.0
10.42.0.120,3269,8.502472933931449,1.0
