ip,round,value,rel
192.168.57.2,0,0.0,0.0
192.168.57.2,1,0.0,0.0
192.168.57.2,278,0.0,0.0
192.168.57.2,374,0.0,0.0
192.168.57.2,466,0.0,0.16666666666666666
192.168.57.2,482,0.0,0.16666666666666666
192.168.57.2,657,0.0,0.16666666666666666
192.168.57.2,749,0.0,0.16666666666666666
192.168.57.2,846,0.0,0.16666666666666666
192.168.57.2,938,0.0,0.16666666666666666
192.168.57.2,1032,3.8878391807422705,0.16666666666666666
192.168.57.2,1128,1.4814499154757965,0.16666666666666666
192.168.57.2,1225,7.730416159794747,0.3333333333333333
192.168.57.2,1317,9.974623988059106,0.5
192.168.57.2,1413,9.779629449917577,1.0
192.168.57.2,1508,9.282778365316322,1.0
192.168.57.2,1604,8.864351434186515,1.0
192.168.57.2,1693,8.663593564294453,1.0
192.168.57.2,1784,8.658095464591725,1.0
192.168.57.2,1874,8.688049883915223,1.0
192.168.57.2,1966,8.78460416201725,1.0
192.168.57.2,2054,8.441827785387998,1.0
192.168.57.2,2144,10.625022390392889,1.0
192.168.57.2,2231,10.925997914406064,1.0
192.168.57.2,2320,10.680138218359842,1.0
192.168.57.2,2412,10.353666469852628,1.0
192.168.57.2,2505,10.050778529833915,1.0
192.168.57.2,2596,9.94990841853715,1.0
192.168.57.2,2687,9.995271419662204,1.0
192.168.57.2,2772,9.996525892158614,1.0
192.168.57.2,2858,9.388940807645014,1.0
192.168.57.2,2947,9.122032912358382,1.0
192.168.57.2,3038,11.112892272036493,1.0
192.168.57.2,3129,11.352131687983382,1.0
192.168.57.2,3221,11.115861083119755,1.0
192.168.57.2,3315,10.777211467034949,1.0
192.168.57.2,3407,10.466020042378968,1.0
192.168.57.2,3501,10.359661169019848,1.0
192.168.57.2,3593,10.402761361118104,1.0
192.168.57.2,3683,10.00540437275704,1.0
192.168.57.2,3773,9.526769761612513,1.0
192.168.57.2,3865,9.31343714271341,1.0
192.168.57.2,3956,11.26514496055531,1.0
192.168.57.2,4046,11.454198205665417,1.0
192.168.57.2,4139,11.216955665749625,1.0
192.168.57.2,4230,10.879747760846266,1.0
192.168.57.2,4322,10.557425100709098,1.0
192.168.57.2,4412,10.449014127052608,1.0
192.168.57.2,4499,10.482965172624013,1.0
192.168.57.2,4590,10.006300999928156,1.0
192.168.57.2,4682,9.548609182038835,1.0
192.168.57.2,4774,9.347781343220504,1.0
192.168.57.2,4861,11.226276000659219,1.0
192.168.57.2,4950,11.498142106875365,1.0
192.168.57.2,5038,11.275795651028284,1.0
192.168.57.2,5127,10.942703587845365,1.0
192.168.57.2,5216,10.622022279440127,1.0
192.168.57.2,5308,10.503318807751944,1.0
192.168.57.2,5401,10.538440026668498,1.0
192.168.57.1,0,0.0,0.0
192.168.57.1,1,0.0,0.0
192.168.57.1,281,0.0,0.0
192.168.57.1,377,0.0,0.0
192.168.57.1,470,0.0,0.0
192.168.57.1,563,0.0,0.0
192.168.57.1,659,0.0,0.0
192.168.57.1,752,0.0,0.0
192.168.57.1,847,0.0,0.0
192.168.57.1,943,0.0,0.0
192.168.57.1,1039,12.020017764506873,0.5
192.168.57.1,1129,9.917618256731323,0.5
192.168.57.1,1226,9.122812650745798,1.0
192.168.57.1,1323,8.646192814206174,1.0
192.168.57.1,1417,8.516986066968496,1.0
192.168.57.1,1508,8.619749022895004,1.0
192.168.57.1,1600,8.716649174206417,1.0
192.168.57.1,1692,7.97579301394836,1.0
192.168.57.1,1783,8.124903607002322,1.0
192.168.57.1,1871,14.935397149971717,1.0
192.168.57.1,1961,11.399361675619806,1.0
192.168.57.1,2048,10.55005984597515,1.0
192.168.57.1,2137,10.293114780276131,1.0
192.168.57.1,2231,9.860687431561011,1.0
192.168.57.1,2322,9.855717878154648,1.0
192.168.57.1,2413,9.996878718897504,1.0
192.168.57.1,2501,10.078392008806729,1.0
192.168.57.1,2587,9.042612865799834,1.0
192.168.57.1,2675,8.875066878650847,1.0
192.168.57.1,2764,14.885228424747641,1.0
192.168.57.1,2854,11.766042974803659,1.0
192.168.57.1,2944,11.000139517490972,1.0
192.168.57.1,3038,10.727911483336994,1.0
192.168.57.1,3130,10.269669279379999,1.0
192.168.57.1,3224,10.26400727290994,1.0
192.168.57.1,3317,10.405732263051384,1.0
192.168.57.1,3408,10.479485376190881,1.0
192.168.57.1,3498,9.314407101743727,1.0
192.168.57.1,3590,9.11333898416112,1.0
192.168.57.1,3681,14.834489921658097,1.0
192.168.57.1,3772,11.836850723523478,1.0
192.168.57.1,3864,11.101074011951901,1.0
192.168.57.1,3958,10.823889201555883,1.0
192.168.57.1,4051,10.353209810687543,1.0
192.168.57.1,4144,10.34861654809926,1.0
192.168.57.1,4234,10.483591580064052,1.0
192.168.57.1,4321,10.557649093157075,1.0
192.168.57.1,4412,9.345340869148153,1.0
192.168.57.1,4503,9.158308425802907,1.0
192.168.57.1,4594,14.889759519334048,1.0
192.168.57.1,4680,11.955962729005448,1.0
192.168.57.1,4769,11.159555417172367,1.0
192.168.57.1,4860,10.856562871630649,1.0
192.168.57.1,4948,10.409313645695553,1.0
192.168.57.1,5037,10.396877134391866,1.0
192.168.57.1,5130,10.536054264602779,1.0
192.168.57.1,5222,10.606859687780513,1.0
192.168.57.1,5313,9.327136866341888,1.0
192.168.57.1,5405,9.169105036277108,1.0
192.168.57.3,0,0.0,0.0
192.168.57.3,1,0.0,0.0
192.168.57.3,2,0.0,0.0
192.168.57.3,373,0.0,0.3333333333333333
192.168.57.3,460,0.0,0.3333333333333333
192.168.57.3,559,3.6819633992092418,0.3333333333333333
192.168.57.3,654,1.8392826239590805,0.5
192.168.57.3,748,3.002310900076069,0.6666666666666666
192.168.57.3,839,7.152501850917704,0.6666666666666666
192.168.57.3,934,8.224215272471213,1.0
192.168.57.3,1031,7.6328340174429545,1.0
192.168.57.3,1127,7.9527161151839785,1.0
192.168.57.3,1215,9.213442788993657,1.0
192.168.57.3,1307,8.771083631403123,1.0
192.168.57.3,1398,8.682238299687546,1.0
192.168.57.3,1490,8.795369647065518,1.0
192.168.57.3,1580,8.604005943598525,1.0
192.168.57.3,1671,8.916528908097419,1.0
192.168.57.3,1758,9.837251636801414,1.0
192.168.57.3,1847,5.107131642843294,1.0
192.168.57.3,1940,9.333534664939592,1.0
192.168.57.3,2032,9.799056885837553,1.0
192.168.57.3,2123,10.553316882235588,1.0
192.168.57.3,2214,10.159438446324787,1.0
192.168.57.3,2299,10.070705830246855,1.0
192.168.57.3,2386,9.58947212901172,1.0
192.168.57.3,2475,9.339105072173256,1.0
192.168.57.3,2565,9.527732960221867,1.0
192.168.57.3,2655,10.34975510074039,1.0
192.168.57.3,2748,5.341997753322746,1.0
192.168.57.3,2841,9.729432720610005,1.0
192.168.57.3,2934,10.20909500267994,1.0
192.168.57.3,3028,10.905998424380217,1.0
192.168.57.3,3119,10.547821704747795,1.0
192.168.57.3,3210,10.46001487672582,1.0
192.168.57.3,3300,9.788960293260526,1.0
192.168.57.3,3391,9.53443935722345,1.0
192.168.57.3,3481,9.696914738977474,1.0
192.168.57.3,3570,10.477101017994316,1.0
192.168.57.3,3664,5.348535213234014,1.0
192.168.57.3,3755,9.783032761815157,1.0
192.168.57.3,3848,10.293532394331153,1.0
192.168.57.3,3938,10.979181574980354,1.0
192.168.57.3,4026,10.632654580801862,1.0
192.168.57.3,4115,10.533583344749633,1.0
192.168.57.3,4207,9.81696180013316,1.0
192.168.57.3,4299,9.565853189444898,1.0
192.168.57.3,4387,9.699220530719147,1.0
192.168.57.3,4475,10.477051471352407,1.0
192.168.57.3,4562,5.350075605147218,1.0
192.168.57.3,4652,9.804872859687963,1.0
192.168.57.3,4741,10.330270358476584,1.0
192.168.57.3,4832,11.011113549283015,1.0
192.168.57.3,4925,10.665626825453703,1.0
192.168.57.3,5015,10.56346898085855,1.0
192.168.57.3,5108,9.824872028307762,1.0
192.168.57.3,5199,9.574298817189833,1.0
192.168.57.3,5289,9.743516666831445,1.0
