ip,round,value
10.42.0.116,92,0.0
10.42.0.116,184,0.0
10.42.0.116,276,0.0
10.42.0.116,368,0.0
10.42.0.116,456,0.0
10.42.0.116,545,0.0
10.42.0.116,636,0.0
10.42.0.116,727,0.0
10.42.0.116,819,0.0
10.42.0.116,911,0.0
10.42.0.116,1002,5.445350264464748
10.42.0.116,1094,4.61631884793259
10.42.0.116,1183,4.066201012313869
10.42.0.116,1274,3.2502333659533207
10.42.0.116,1364,3.162073664233156
10.42.0.116,1454,3.1561134290328536
10.42.0.116,1529,5.122258603326445
10.42.0.116,1596,6.328542674405457
10.42.0.116,1649,6.361879837039979
10.42.0.116,1735,9.862543757594214
10.42.0.116,1823,6.643736450405296
10.42.0.116,1913,6.441796505032169
10.42.0.116,2001,6.253947421462741
10.42.0.116,2090,6.249960563392846
10.42.0.116,2176,6.24979895854403
10.42.0.116,2264,6.107319876014648
10.42.0.116,2351,7.069404728528817
10.42.0.116,2426,6.851021853572211
10.42.0.116,2499,8.428969592484883
10.42.0.116,2547,8.533881571409799
10.42.0.116,2599,8.751084121210123
10.42.0.116,2646,8.568273010841581
10.42.0.116,2705,8.599465499388252
10.42.0.116,2776,8.643921265660762
10.42.0.116,2846,8.173832867583288
10.42.0.116,2913,8.20870919412602
10.42.0.116,2980,8.300494095536392
10.42.0.116,3046,8.074536501586907
10.42.0.116,3109,8.285204006674778
10.42.0.116,3181,9.612671649531036
10.42.0.116,3255,8.673314352062327
10.42.0.116,3324,8.689315968502163
10.42.0.116,3375,8.622388205212756
10.42.0.116,3425,8.314218531085698
10.42.0.116,3469,8.448102413716613
10.42.0.116,3529,8.535705215547292
10.42.0.116,3601,8.672202191879126
10.42.0.116,3671,8.570933650376997
10.42.0.116,3740,8.255875298702456
10.42.0.116,3812,9.520269890065338
10.42.0.116,3884,8.14527773824777
10.42.0.116,3956,8.426650626601674
10.42.0.116,4025,8.474217282767711
10.42.0.116,4099,9.138977520313912
10.42.0.116,4171,9.398499812641667
10.42.0.116,4227,8.658417010522596
10.42.0.116,4273,8.788963735139154
