ip,round,value
10.42.0.116,91,0.0
10.42.0.116,175,0.0
10.42.0.116,266,0.0
10.42.0.116,359,0.0
10.42.0.116,452,0.0
10.42.0.116,544,0.0
10.42.0.116,638,0.0
10.42.0.116,729,0.0
10.42.0.116,821,0.0
10.42.0.116,913,9.9
10.42.0.116,1005,5.671393095108329
10.42.0.116,1097,5.021818075584995
10.42.0.116,1189,4.919871706996592
10.42.0.116,1255,4.609414552450478
10.42.0.116,1326,4.414037343549976
10.42.0.116,1397,4.40628310979179
10.42.0.116,1488,4.407668939730619
10.42.0.116,1578,7.106695441678615
10.42.0.116,1670,7.602109164781032
10.42.0.116,1757,9.901790143820707
10.42.0.116,1848,7.3383254833586316
10.42.0.116,1937,7.3160559242534795
10.42.0.116,2026,6.954477468543461
10.42.0.116,2116,6.763862615125904
10.42.0.116,2203,6.705492622995665
10.42.0.116,2292,6.5707387570031415
10.42.0.116,2345,6.575028408699734
10.42.0.116,2391,6.572549997324405
10.42.0.116,2443,6.569771635911976
10.42.0.116,2513,9.806057763958421
10.42.0.116,2586,7.3891355413144835
10.42.0.116,2651,8.189020204086491
10.42.0.116,2719,7.82034857673534
10.42.0.116,2789,7.771379333030482
10.42.0.116,2861,7.721798791766337
10.42.0.116,2927,7.653607390529709
10.42.0.116,2991,7.458032347062967
10.42.0.116,3060,7.559496102195976
10.42.0.116,3133,7.459471617954556
10.42.0.116,3179,7.573506232450751
10.42.0.116,3233,7.8028544910732665
10.42.0.116,3280,7.6124527509877264
10.42.0.116,3348,7.688432239729215
10.42.0.116,3423,8.265125995951022
10.42.0.116,3496,7.759173968125274
10.42.0.116,3569,7.926191427355718
10.42.0.116,3643,8.203623221170837
10.42.0.116,3714,7.864421071626631
10.42.0.116,3789,7.921231565651117
10.42.0.116,3858,9.427452582623104
10.42.0.116,3932,7.8454853401443705
10.42.0.116,4002,7.670865597338649
10.42.0.116,4057,7.709210662552484
10.42.0.116,4107,7.452633955931001
10.42.0.116,4160,7.572846658880674
10.42.0.116,4227,7.764514671051362
10.42.0.116,4299,7.823874372906087
10.42.0.116,4373,8.054138780870833
10.42.0.116,4447,7.875850796400982
10.42.0.118,90,0.0
10.42.0.118,180,0.0
10.42.0.118,271,1.951444905961434
10.42.0.118,363,4.448576913727478
10.42.0.118,454,4.830409981574423
10.42.0.118,544,4.8899498280185085
10.42.0.118,629,4.4849094589069
10.42.0.118,699,4.417184163008379
10.42.0.118,767,4.408799045754421
10.42.0.118,833,4.407907179810734
10.42.0.118,922,8.122444000300904
10.42.0.118,1013,7.658381470917077
10.42.0.118,1098,7.2745777194353165
10.42.0.118,1187,7.290583336865275
10.42.0.118,1275,7.315524569869111
10.42.0.118,1364,6.829749835600457
