ip,round,value,rel
10.42.0.116,89,0.0,0.0
10.42.0.116,174,0.0,0.0
10.42.0.116,266,0.0,0.0
10.42.0.116,358,0.0,0.0
10.42.0.116,451,0.0,0.0
10.42.0.116,545,0.0,0.0
10.42.0.116,635,0.0,0.16666666666666666
10.42.0.116,726,0.0,0.16666666666666666
10.42.0.116,818,0.0,0.16666666666666666
10.42.0.116,910,0.0,0.16666666666666666
10.42.0.116,1003,3.927110283578051,0.16666666666666666
10.42.0.116,1095,1.557797492867119,0.16666666666666666
10.42.0.116,1183,0.6432919623726728,0.16666666666666666
10.42.0.116,1238,0.37460926522169286,0.5
10.42.0.116,1307,0.20871512513378707,0.5
10.42.0.116,1383,0.1808147029394802,0.5
10.42.0.116,1474,4.789460810592939,0.5
10.42.0.116,1565,6.902324288718629,0.5
10.42.0.116,1653,7.289587529769983,0.5
10.42.0.116,1744,9.664562528850912,0.6666666666666666
10.42.0.116,1834,7.5954126410421,0.6666666666666666
10.42.0.116,1924,7.6078921305953955,0.6666666666666666
10.42.0.116,2013,7.231762762002746,0.6666666666666666
10.42.0.116,2102,6.7908124350583625,0.6666666666666666
10.42.0.116,2184,6.7628730288411365,0.6666666666666666
10.42.0.116,2256,6.449281656955435,0.8333333333333334
10.42.0.116,2306,6.302873534463066,0.8333333333333334
10.42.0.116,2358,6.269733767813513,0.8333333333333334
10.42.0.116,2413,7.384818765174307,0.8333333333333334
10.42.0.116,2483,7.198400536324796,0.8333333333333334
10.42.0.116,2551,7.373682463543551,0.8333333333333334
10.42.0.116,2615,8.134443764248799,0.8333333333333334
10.42.0.116,2687,7.626559267893897,1.0
10.42.0.116,2755,7.436561159764374,1.0
10.42.0.116,2827,7.382576406398421,1.0
10.42.0.116,2893,7.425420426125258,1.0
10.42.0.116,2959,7.410946365005356,1.0
10.42.0.116,3031,7.3813392773711515,1.0
10.42.0.116,3097,7.388675558762324,1.0
10.42.0.116,3144,7.391742416134581,1.0
10.42.0.116,3196,7.553291298018098,1.0
10.42.0.116,3248,7.435772122833456,1.0
10.42.0.116,3318,7.439160100227007,1.0
10.42.0.116,3391,7.435685742381069,1.0
10.42.0.116,3461,7.455981098041839,1.0
10.42.0.116,3534,7.870230671693959,1.0
10.42.0.116,3607,7.4766326594821155,1.0
10.42.0.116,3678,7.523116939119928,1.0
10.42.0.116,3747,8.115033229707358,1.0
10.42.0.116,3819,9.240924755784121,1.0
10.42.0.116,3893,7.731449926484247,1.0
10.42.0.116,3961,7.672244459359732,1.0
10.42.0.116,4013,7.676688412503587,1.0
10.42.0.116,4071,7.690374985971924,1.0
10.42.0.116,4128,7.723229368540225,1.0
10.42.0.116,4209,7.741582787590189,1.0
10.42.0.116,4289,7.72898160318267,1.0
10.42.0.116,4367,7.644558712767103,1.0
10.42.0.116,4444,7.645925834144742,1.0
10.42.0.118,73,0.0,0.0
10.42.0.118,156,0.0,0.0
10.42.0.118,248,0.0,0.0
10.42.0.118,340,0.0,0.0
10.42.0.118,430,0.0,0.0
10.42.0.118,523,0.0,0.0
10.42.0.118,611,0.012494746005499427,0.5
10.42.0.118,701,0.11749637224720105,0.5
10.42.0.118,792,0.16303309424913615,0.5
10.42.0.118,883,0.17330888462317443,0.5
10.42.0.118,974,8.504525127159527,0.5
10.42.0.118,1045,7.59714906574074,0.5
10.42.0.118,1101,7.427173300391129,0.5
10.42.0.118,1158,7.345714990781845,0.6666666666666666
10.42.0.118,1245,7.5522531024456665,0.6666666666666666
10.42.0.118,1336,7.6052380944502875,0.6666666666666666
10.42.0.118,1425,6.906242669837563,0.6666666666666666
10.42.0.118,1507,6.771190120096224,0.6666666666666666
10.42.0.118,1595,6.671850547006133,0.8333333333333334
10.42.0.118,1681,14.740867855978363,0.0
10.42.0.118,1770,7.443634279716353,0.8333333333333334
10.42.0.118,1859,7.261935224250747,0.8333333333333334
10.42.0.118,1948,7.59351987607866,0.8333333333333334
10.42.0.118,2035,7.726239210830955,0.8333333333333334
10.42.0.118,2099,7.640820200672615,0.8333333333333334
10.42.0.118,2150,7.576708658466026,0.8333333333333334
10.42.0.118,2212,7.6714500723615044,0.8333333333333334
10.42.0.118,2291,7.345915049711342,1.0
10.42.0.118,2373,7.392747653346034,1.0
10.42.0.118,2454,14.614399362635714,1.0
10.42.0.118,2533,7.448192758305393,1.0
10.42.0.118,2614,7.556413994545744,1.0
10.42.0.118,2698,7.801842113352069,1.0
10.42.0.118,2782,7.706188513337486,1.0
10.42.0.118,2868,7.759849751354346,1.0
10.42.0.118,2953,7.609871338167925,1.0
10.42.0.118,3039,7.6448773082038635,1.0
10.42.0.118,3103,7.606558315963459,1.0
10.42.0.118,3165,7.434005009784248,1.0
10.42.0.118,3228,7.611807099155007,1.0
10.42.0.118,3302,7.959541634572325,1.0
10.42.0.118,3383,7.695513714875007,1.0
10.42.0.118,3465,7.761585685279985,1.0
10.42.0.118,3546,7.908411087658431,1.0
10.42.0.118,3627,7.880793219459167,1.0
10.42.0.118,3709,7.927799032575504,1.0
10.42.0.118,3794,7.693350775779453,1.0
10.42.0.118,3879,7.749957120846023,1.0
10.42.0.118,3962,7.701963220569114,1.0
10.42.0.118,4046,13.07954726125945,1.0
10.42.0.118,4113,7.922686720190286,1.0
10.42.0.118,4171,7.864427641221426,1.0
10.42.0.118,4233,7.843823445296056,1.0
10.42.0.118,4303,8.080665474745038,1.0
10.42.0.118,4385,7.9213768961979,1.0
10.42.0.118,4466,7.956423096719005,1.0
10.42.0.118,4547,7.636469450502054,1.0
10.42.0.118,4629,7.802807841134426,1.0
10.42.0.118,4709,7.81274491939324,1.0
10.42.0.119,89,0.18472192354041772,0.5
10.42.0.119,178,0.1972302800530442,0.5
10.42.0.119,268,0.18131817391457564,0.5
10.42.0.119,359,3.3603768080928234,0.5
10.42.0.119,449,6.666340992062837,0.5
10.42.0.119,537,7.243943055283647,0.5
10.42.0.119,592,7.331387596890443,0.5
10.42.0.119,653,7.759367786274747,0.6666666666666666
10.42.0.119,718,7.639279110682776,0.6666666666666666
10.42.0.119,808,5.052152302328595,0.6666666666666666
10.42.0.119,898,6.650893210923799,0.6666666666666666
10.42.0.119,981,6.752653375145655,0.6666666666666666
10.42.0.119,1070,6.224984726987494,0.8333333333333334
10.42.0.119,1159,7.324663718448049,0.8333333333333334
10.42.0.119,1247,6.7649759069264555,0.8333333333333334
10.42.0.119,1335,7.105798137228697,0.8333333333333334
10.42.0.119,1425,7.562228581814108,0.8333333333333334
10.42.0.119,1513,7.82404042700621,0.8333333333333334
10.42.0.119,1587,7.543505266502381,0.8333333333333334
10.42.0.119,1647,7.634637971505488,1.0
10.42.0.119,1707,7.338082811006943,1.0
10.42.0.119,1771,7.460287414766236,1.0
10.42.0.119,1851,7.361455189018319,1.0
10.42.0.119,1932,7.191118292296224,1.0
10.42.0.119,2014,7.734515307909885,1.0
10.42.0.119,2096,7.392159436034754,1.0
10.42.0.119,2182,7.38501201064858,1.0
10.42.0.119,2268,8.427121606663976,1.0
10.42.0.119,2354,8.288275245183444,1.0
10.42.0.119,2436,5.304773977331472,1.0
10.42.0.119,2520,8.356338042482399,1.0
10.42.0.119,2603,8.35524723432468,1.0
10.42.0.119,2665,8.218203976889049,1.0
10.42.0.119,2729,7.838194663893697,1.0
10.42.0.119,2794,7.631318574223204,1.0
10.42.0.119,2871,8.158523390737436,1.0
10.42.0.119,2952,7.805688468721158,1.0
