ip,round,value,rel
192.168.57.1,96,0.0,0.0
192.168.57.1,182,0.0,0.0
192.168.57.1,279,0.0,0.0
192.168.57.1,373,0.0,0.0
192.168.57.1,470,0.0,0.5
192.168.57.1,562,0.0,0.6666666666666666
192.168.57.1,657,0.0,0.6666666666666666
192.168.57.1,751,0.0,0.6666666666666666
192.168.57.1,845,0.0,0.8333333333333334
192.168.57.1,940,0.0,0.0
192.168.57.1,1036,2.855813379405819,1.0
192.168.57.1,1131,2.13004910722207,1.0
192.168.57.1,1223,3.49729292218242,1.0
192.168.57.1,1319,3.4999699400078934,1.0
192.168.57.1,1414,3.4556380963014353,1.0
192.168.57.1,1506,5.149711358450361,1.0
192.168.57.1,1599,5.098736010015728,1.0
192.168.57.1,1685,4.516475101239718,1.0
192.168.57.1,1777,4.161486043886004,1.0
192.168.57.1,1871,9.81345020062309,1.0
192.168.57.1,1960,3.82476568332205,1.0
192.168.57.1,2054,4.90537452736665,1.0
192.168.57.1,2145,4.500520320510351,1.0
192.168.57.1,2236,3.7641360355273226,1.0
192.168.57.1,2328,3.559053211086204,1.0
192.168.57.1,2420,4.377462375169791,1.0
192.168.57.1,2510,3.5790807281450374,1.0
192.168.57.1,2604,3.370524402297039,1.0
192.168.57.1,2695,3.368467355903018,1.0
192.168.57.1,2787,9.66625746011508,1.0
192.168.57.1,2880,3.4858500809698345,1.0
192.168.57.1,2971,3.4265958109169197,1.0
192.168.57.1,3063,3.5162093128499845,1.0
192.168.57.1,3155,3.4263891074183355,1.0
192.168.57.1,3247,3.347904834357706,1.0
192.168.57.1,3338,4.456291241167132,1.0
192.168.57.1,3430,3.6969149365327034,1.0
192.168.57.1,3522,3.394947862830757,1.0
192.168.57.1,3614,3.3760711224179896,1.0
192.168.57.1,3707,9.34165542157216,1.0
192.168.57.1,3800,3.719987713758078,1.0
192.168.57.1,3890,4.622287548245371,1.0
192.168.57.1,3983,3.991778923904759,1.0
192.168.57.1,4076,3.659049398003167,1.0
192.168.57.1,4168,3.535452758354005,1.0
192.168.57.1,4260,4.448277280176302,1.0
192.168.57.1,4353,3.728523505542592,1.0
192.168.57.1,4444,3.555639305296864,1.0
192.168.57.1,4532,3.542995650949546,1.0
192.168.57.1,4624,9.075526704286471,1.0
192.168.57.1,4717,4.104093501208285,1.0
192.168.57.1,4810,4.81022008327578,1.0
192.168.57.1,4902,4.13499378521953,1.0
192.168.57.1,4994,3.979743766245311,1.0
192.168.57.1,5084,3.9521591190954144,1.0
192.168.57.1,5176,5.118587700201887,1.0
192.168.57.1,5269,4.436585757825493,1.0
192.168.57.1,5362,4.087976578931818,1.0
192.168.57.1,5450,4.088651619080929,1.0
192.168.57.2,95,0.0,0.0
192.168.57.2,189,0.0,0.0
192.168.57.2,286,0.0,0.0
192.168.57.2,378,0.0,0.5
192.168.57.2,473,0.0,0.6666666666666666
192.168.57.2,567,0.0,0.6666666666666666
192.168.57.2,661,0.0,0.8333333333333334
192.168.57.2,758,0.0,0.8333333333333334
192.168.57.2,853,0.8942134251903429,0.8333333333333334
192.168.57.2,948,1.6899598696257687,0.0
192.168.57.2,1041,3.544489421953719,1.0
192.168.57.2,1138,2.9159177953447175,1.0
192.168.57.2,1231,2.961649098976272,1.0
192.168.57.2,1327,2.904909531949193,1.0
192.168.57.2,1419,3.8503976104361155,1.0
192.168.57.2,1512,3.621397242832028,1.0
192.168.57.2,1598,3.404564021481029,1.0
192.168.57.2,1691,3.2163158319073335,1.0
192.168.57.2,1784,3.306391620145419,1.0
192.168.57.2,1877,3.03242675287375,0.16666666666666666
192.168.57.2,1969,4.453706595185813,1.0
192.168.57.2,2061,3.3232430098155366,1.0
192.168.57.2,2153,3.1117659758075007,1.0
192.168.57.2,2244,2.939616670002702,1.0
192.168.57.2,2334,3.0558995568157514,1.0
192.168.57.2,2428,2.9079664311689135,1.0
192.168.57.2,2520,2.8929310895098994,1.0
192.168.57.2,2611,2.864413084781039,1.0
192.168.57.2,2704,3.021062663833407,1.0
192.168.57.2,2796,14.631564734234304,1.0
192.168.57.2,2887,3.7995197010730926,1.0
192.168.57.2,2979,3.389147792540576,1.0
192.168.57.2,3070,3.407383645221611,1.0
192.168.57.2,3162,4.126545774179791,1.0
192.168.57.2,3254,3.947843952483906,1.0
192.168.57.2,3346,3.4751025569357448,1.0
192.168.57.2,3438,3.4649210227790257,1.0
192.168.57.2,3531,3.3164251354224774,1.0
192.168.57.2,3624,3.814611378152309,1.0
192.168.57.2,3714,13.878168317550458,1.0
192.168.57.2,3807,4.213950153776533,1.0
192.168.57.2,3900,3.6534431792874775,1.0
192.168.57.2,3992,3.584803194231666,1.0
192.168.57.2,4083,3.5619691701722886,1.0
192.168.57.2,4175,3.7844246531641237,1.0
192.168.57.2,4267,3.575456925197037,1.0
192.168.57.2,4356,3.6133931684104983,1.0
192.168.57.2,4447,3.5229806731176465,1.0
192.168.57.2,4540,4.165661265570281,1.0
192.168.57.2,4633,13.420499920047014,1.0
192.168.57.2,4726,4.27875202039605,1.0
192.168.57.2,4819,3.971744696675603,1.0
192.168.57.2,4909,3.974680792102662,1.0
